"STATISTIC","Statistic Label","TLIST(A1)","Year","C02402V02895","Type of Building and Construction","UNIT","VALUE"
"BEA04C02","Volume of Production Index in Building and Construction","2014","2014","111","Residential building","Base 2015=100","77.610323464"
"BEA04C02","Volume of Production Index in Building and Construction","2014","2014","112","Non-residential building","Base 2015=100","95.726133361"
"BEA04C02","Volume of Production Index in Building and Construction","2014","2014","12","Civil engineering","Base 2015=100","104.37998107"
"BEA04C02","Volume of Production Index in Building and Construction","2015","2015","-","All building and construction","Base 2015=100","99.984241362"
"BEA04C02","Volume of Production Index in Building and Construction","2015","2015","11","Building (excluding civil engineering)","Base 2015=100","99.984485143"
"BEA04C02","Volume of Production Index in Building and Construction","2015","2015","111","Residential building","Base 2015=100","99.981231225"
"BEA04C02","Volume of Production Index in Building and Construction","2015","2015","112","Non-residential building","Base 2015=100","99.984989271"
"BEA04C02","Volume of Production Index in Building and Construction","2015","2015","12","Civil engineering","Base 2015=100","99.983130806"
"BEA04C02","Volume of Production Index in Building and Construction","2016","2016","-","All building and construction","Base 2015=100","109.88260576"
"BEA04C02","Volume of Production Index in Building and Construction","2016","2016","11","Building (excluding civil engineering)","Base 2015=100","111.36608469"
"BEA04C02","Volume of Production Index in Building and Construction","2016","2016","111","Residential building","Base 2015=100","123.84549988"
"BEA04C02","Volume of Production Index in Building and Construction","2016","2016","112","Non-residential building","Base 2015=100","109.43265417"
"BEA04C02","Volume of Production Index in Building and Construction","2016","2016","12","Civil engineering","Base 2015=100","103.1245351"
"BEA04C02","Volume of Production Index in Building and Construction","2017","2017","-","All building and construction","Base 2015=100","124.16274471"
"BEA04C02","Volume of Production Index in Building and Construction","2017","2017","11","Building (excluding civil engineering)","Base 2015=100","127.96701944"
"BEA04C02","Volume of Production Index in Building and Construction","2017","2017","111","Residential building","Base 2015=100","144.08721329"
"BEA04C02","Volume of Production Index in Building and Construction","2017","2017","112","Non-residential building","Base 2015=100","125.46952462"
"BEA04C02","Volume of Production Index in Building and Construction","2017","2017","12","Civil engineering","Base 2015=100","106.8321598"
"BEA04C02","Volume of Production Index in Building and Construction","2018","2018","-","All building and construction","Base 2015=100","136.95882639"
"BEA04C02","Volume of Production Index in Building and Construction","2018","2018","11","Building (excluding civil engineering)","Base 2015=100","140.93418265"
"BEA04C02","Volume of Production Index in Building and Construction","2018","2018","111","Residential building","Base 2015=100","142.23268902"
"BEA04C02","Volume of Production Index in Building and Construction","2018","2018","112","Non-residential building","Base 2015=100","140.7330056"
"BEA04C02","Volume of Production Index in Building and Construction","2018","2018","12","Civil engineering","Base 2015=100","118.8488701"
"BEA04C02","Volume of Production Index in Building and Construction","2019","2019","-","All building and construction","Base 2015=100","144.75515318"
"BEA04C02","Volume of Production Index in Building and Construction","2019","2019","11","Building (excluding civil engineering)","Base 2015=100","151.73930025"
"BEA04C02","Volume of Production Index in Building and Construction","2019","2019","111","Residential building","Base 2015=100","160.93448207"
"BEA04C02","Volume of Production Index in Building and Construction","2019","2019","112","Non-residential building","Base 2015=100","150.31469461"
"BEA04C02","Volume of Production Index in Building and Construction","2019","2019","12","Civil engineering","Base 2015=100","112.93848323"
"BEA04C02","Volume of Production Index in Building and Construction","2020","2020","-","All building and construction","Base 2015=100","131.48305108"
"BEA04C02","Volume of Production Index in Building and Construction","2020","2020","11","Building (excluding civil engineering)","Base 2015=100","139.26332678"
"BEA04C02","Volume of Production Index in Building and Construction","2020","2020","111","Residential building","Base 2015=100","124.66838625"
"BEA04C02","Volume of Production Index in Building and Construction","2020","2020","112","Non-residential building","Base 2015=100","141.52451475"
"BEA04C02","Volume of Production Index in Building and Construction","2020","2020","12","Civil engineering","Base 2015=100","96.039572923"
"BEA04C02","Volume of Production Index in Building and Construction","2021","2021","-","All building and construction","Base 2015=100","127.48541282"
"BEA04C02","Volume of Production Index in Building and Construction","2021","2021","11","Building (excluding civil engineering)","Base 2015=100","131.56986841"
"BEA04C02","Volume of Production Index in Building and Construction","2021","2021","111","Residential building","Base 2015=100","111.36776648"
"BEA04C02","Volume of Production Index in Building and Construction","2021","2021","112","Non-residential building","Base 2015=100","134.69977153"
"BEA04C02","Volume of Production Index in Building and Construction","2021","2021","12","Civil engineering","Base 2015=100","108.87844847"
"BEA04C02","Volume of Production Index in Building and Construction","2022","2022","-","All building and construction","Base 2015=100","130.05029255"
"BEA04C02","Volume of Production Index in Building and Construction","2022","2022","11","Building (excluding civil engineering)","Base 2015=100","135.33841117"
"BEA04C02","Volume of Production Index in Building and Construction","2022","2022","111","Residential building","Base 2015=100","115.15883425"
"BEA04C02","Volume of Production Index in Building and Construction","2022","2022","112","Non-residential building","Base 2015=100","138.4648245"
"BEA04C02","Volume of Production Index in Building and Construction","2022","2022","12","Civil engineering","Base 2015=100","105.95997438"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","-","All building and construction","Base 2015=100","155.72678418"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","11","Building (excluding civil engineering)","Base 2015=100","199.70307605"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","111","Residential building","Base 2015=100","311.34748102"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","112","Non-residential building","Base 2015=100","121.40851769"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","12","Civil engineering","Base 2015=100","63.66405467"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","-","All building and construction","Base 2015=100","176.56008951"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","11","Building (excluding civil engineering)","Base 2015=100","222.74541798"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","111","Residential building","Base 2015=100","359.72407894"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","112","Non-residential building","Base 2015=100","126.22370415"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","12","Civil engineering","Base 2015=100","77.686536945"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","-","All building and construction","Base 2015=100","188.609384"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","11","Building (excluding civil engineering)","Base 2015=100","230.03597046"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","111","Residential building","Base 2015=100","391.33142814"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","112","Non-residential building","Base 2015=100","115.55654249"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","12","Civil engineering","Base 2015=100","94.857633196"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","-","All building and construction","Base 2015=100","210.95871193"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","11","Building (excluding civil engineering)","Base 2015=100","262.30713769"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","111","Residential building","Base 2015=100","480.66570078"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","112","Non-residential building","Base 2015=100","106.61579273"
